[2025-05-21 03:59:07.409255] Starting Kafka producer...
[2025-05-21 04:07:20.978375] Sent record 65019
[2025-05-21 04:07:21.979200] Sent record 65020
[2025-05-21 04:07:22.980058] Sent record 65021
[2025-05-21 04:07:23.980929] Sent record 65024
[2025-05-21 04:07:24.981711] Sent record 65023
[2025-05-21 04:07:25.982403] Sent record 65022
[2025-05-21 04:07:26.983171] Sent record 65028
[2025-05-21 04:07:27.983984] Sent record 65025
[2025-05-21 04:07:28.984771] Sent record 65026
[2025-05-21 04:07:29.985486] Sent record 65027
[2025-05-21 04:07:30.986309] Sent record 65029
[2025-05-21 04:07:31.987134] Sent record 65030
[2025-05-21 04:07:32.988509] Sent record 65031
[2025-05-21 04:07:33.989420] Sent record 65032
[2025-05-21 04:07:34.990110] Sent record 65033
[2025-05-21 04:07:35.990905] Sent record 65034
[2025-05-21 04:07:36.991637] Sent record 65035
[2025-05-21 04:07:37.992397] Sent record 65036
[2025-05-21 04:07:38.993210] Sent record 65037
[2025-05-21 04:07:39.994035] Sent record 65038
[2025-05-21 04:07:40.994843] Sent record 65039
[2025-05-21 04:07:41.995870] Sent record 65040
[2025-05-21 04:07:42.996901] Sent record 65046
[2025-05-21 04:07:43.997694] Sent record 65047
[2025-05-21 04:07:44.998451] Sent record 65045
[2025-05-21 04:07:45.999273] Sent record 65043
[2025-05-21 04:07:47.000017] Sent record 65042
[2025-05-21 04:07:48.000627] Sent record 65041
[2025-05-21 04:07:49.001337] Sent record 65044
[2025-05-21 04:07:50.002048] Sent record 65048
[2025-05-21 04:07:51.002595] Sent record 65049
[2025-05-21 04:07:52.003322] Sent record 65050
[2025-05-21 04:07:53.004167] Sent record 65051
[2025-05-21 04:07:54.004961] Sent record 65052
[2025-05-21 04:07:55.005682] Sent record 65053
[2025-05-21 04:07:56.006431] Sent record 65057
[2025-05-21 04:07:57.007166] Sent record 65055
[2025-05-21 04:07:58.007931] Sent record 65054
[2025-05-21 04:07:59.018603] Sent record 65056
[2025-05-21 04:08:00.019393] Sent record 65058
[2025-05-21 04:08:01.020157] Sent record 65059
[2025-05-21 04:08:02.021044] Sent record 65060
[2025-05-21 04:08:03.021836] Sent record 65061
[2025-05-21 04:08:04.022587] Sent record 65062
[2025-05-21 04:08:05.023352] Sent record 65063
[2025-05-21 04:08:06.024465] Sent record 65064
[2025-05-21 04:08:07.025306] Sent record 65067
[2025-05-21 04:08:08.026090] Sent record 65065
[2025-05-21 04:08:09.027003] Sent record 65066
[2025-05-21 04:08:10.027779] Sent record 65068
[2025-05-21 04:08:11.028862] Sent record 65070
[2025-05-21 04:08:12.029636] Sent record 65071
[2025-05-21 04:08:13.030380] Sent record 65072
[2025-05-21 04:08:14.031161] Sent record 65069
[2025-05-21 04:08:15.031954] Sent record 65073
[2025-05-21 04:08:16.032840] Sent record 65074
[2025-05-21 04:08:17.033567] Sent record 65075
[2025-05-21 04:08:18.034309] Sent record 65077
[2025-05-21 04:08:19.035063] Sent record 65076
[2025-05-21 04:08:20.035882] Sent record 65078
[2025-05-21 04:08:21.036670] Sent record 65079
[2025-05-21 04:08:22.037538] Sent record 65080
[2025-05-21 04:08:23.038313] Sent record 65081
[2025-05-21 04:08:24.040314] Sent record 65082
[2025-05-21 04:08:25.041302] Sent record 65083
[2025-05-21 04:08:26.042425] Sent record 65084
[2025-05-21 04:08:27.043282] Sent record 65085
